
acacia_button 金合欢木按钮
acacia_door 金合欢木门
acacia_fence 金合欢木栅栏
acacia_fence_gate 金合欢木栅栏门
acacia_hanging_sign 悬挂式金合欢木告示牌
acacia_log 金合欢原木
acacia_pressure_plate 金合欢木压力板
acacia_stairs 金合欢木楼梯
acacia_standing_sign 金合欢木告示牌
acacia_trapdoor 金合欢木活板门
acacia_wall_sign 墙上的金合欢木告示牌
activator_rail 激活铁轨
air 空气
allow 允许方块
amethyst_block 紫水晶块
amethyst_cluster 紫水晶簇
ancient_debris 远古残骸
andesite_stairs 安山岩楼梯
anvil 铁砧
azalea 杜鹃花丛
azalea_leaves 杜鹃树叶
azalea_leaves_flowered 盛开的杜鹃树叶
bamboo 竹子
bamboo_block 竹块
bamboo_button 竹按钮
bamboo_door 竹门
bamboo_double_slab 双层竹台阶
bamboo_fence 竹栅栏
bamboo_fence_gate 竹栅栏门
bamboo_hanging_sign 悬挂式竹告示牌
bamboo_mosaic 竹马赛克
bamboo_mosaic_double_slab 双层竹马赛克台阶
bamboo_mosaic_slab 竹马赛克台阶
bamboo_mosaic_stairs 竹马赛克楼梯
bamboo_planks 竹板
bamboo_pressure_plate 竹压力板
bamboo_sapling 竹笋
bamboo_slab 竹台阶
bamboo_stairs 竹楼梯
bamboo_standing_sign 竹告示牌
bamboo_trapdoor 竹活板门
bamboo_wall_sign 墙上的竹告示牌
barrel 木桶
barrier 屏障
basalt 玄武岩
beacon 信标
bed 床
bedrock 基岩
bee_nest 蜂巢
beehive 蜂箱
beetroot 甜菜根
bell 钟
big_dripleaf 大型垂滴叶
birch_button 白桦木按钮
birch_door 白桦木门
birch_fence 白桦木栅栏
birch_fence_gate 白桦木栅栏门
birch_hanging_sign 悬挂式白桦木告示牌
birch_log 白桦原木
birch_pressure_plate 白桦木压力板
birch_stairs 白桦木楼梯
birch_standing_sign 白桦木告示牌
birch_trapdoor 白桦木活板门
birch_wall_sign 墙上的白桦木告示牌
black_candle 黑色蜡烛
black_candle_cake 插上黑色蜡烛的蛋糕
black_carpet 黑色地毯
black_concrete 黑色混凝土
black_glazed_terracotta 黑色带釉陶瓦
black_shulker_box 黑色潜影盒
black_wool 黑色羊毛
blackstone 黑石
blackstone_double_slab 双层黑石台阶
blackstone_slab 黑石台阶
blackstone_stairs 黑石楼梯
blackstone_wall 黑石墙
blast_furnace 高炉
blue_candle 蓝色蜡烛
blue_candle_cake 插上蓝色蜡烛的蛋糕
blue_carpet 蓝色地毯
blue_concrete 蓝色混凝土
blue_glazed_terracotta 蓝色带釉陶瓦
blue_ice 蓝冰
blue_shulker_box 蓝色潜影盒
blue_wool 蓝色羊毛
bone_block 骨块
bookshelf 书架
border_block 边界
brain_coral 脑纹珊瑚
brewing_stand 酿造台
brick_block 红砖块
brick_stairs 红砖楼梯
brown_candle 棕色蜡烛
brown_candle_cake 插上棕色蜡烛的蛋糕
brown_carpet 棕色地毯
brown_concrete 棕色混凝土
brown_glazed_terracotta 棕色带釉陶瓦
brown_mushroom 棕色蘑菇
brown_mushroom_block 棕色蘑菇方块
brown_shulker_box 棕色潜影盒
brown_wool 棕色羊毛
bubble_column 气泡柱
bubble_coral 气泡珊瑚
budding_amethyst 紫水晶母岩
cactus 仙人掌
cake 蛋糕
calcite 方解石
calibrated_sculk_sensor 校频幽匿感测体
campfire 营火
candle 蜡烛
candle_cake 插上蜡烛的蛋糕
carrots 胡萝卜
cartography_table 制图台
carved_pumpkin 雕刻南瓜
cauldron 炼药锅
cave_vines 洞穴藤蔓
cave_vines_body_with_berries 洞穴藤蔓
cave_vines_head_with_berries 洞穴藤蔓
chain 锁链
chain_command_block 连锁型命令方块
chemistry_table 化合物创建器/材料分解器/元素构造器/实验台
cherry_button 樱花木按钮
cherry_door 樱花木门
cherry_double_slab 双层樱花木台阶
cherry_fence 樱花木栅栏
cherry_fence_gate 樱花木栅栏门
cherry_hanging_sign 悬挂式樱花木告示牌
cherry_leaves 樱花树叶
cherry_log 樱花原木
cherry_planks 樱花木板
cherry_pressure_plate 樱花木压力板
cherry_sapling 樱花树苗
cherry_slab 樱花木台阶
cherry_stairs 樱花木楼梯
cherry_standing_sign 樱花木告示牌
cherry_trapdoor 樱花木活板门
cherry_wall_sign 墙上的樱花木告示牌
cherry_wood 樱花木
chest 箱子
